publisher,country,organization,annual_publications,start_date,end_date,id,url
Sage,Australia,CAUL,2397,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,sage2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023caul/
Springer Nature,Australia,CAUL,3373,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,sn2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2022caul/
Springer Nature,Australia,CSIRO,70,2023-01-01T00:00:00Z,2025-01-01T00:00:00Z,sn2023csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2023csiro/
Taylor & Francis,Australia,CAUL,5190,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,tf2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023caul/
Taylor & Francis,Australia,CSIRO,30,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,tf2022csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2022csiro/
The Geological Society London,Australia,CAUL,27,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,gsl2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2023caul/
The Geological Society of London,Australia,CAUL,27,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,gsl2021caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2021caul/
The Royal Society,Australia,CAUL,255,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,trs2021caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021caul
The Royal Society,Australia,CAUL,255,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,trs2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023caul/
Walter de Gruyter,Australia,CAUL,306,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,degruy2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2022caul/
Walter de Gruyter,Australia,CAUL,306,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,degruy2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2023caul/
Wiley,Australia,CAUL,7000,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,wiley2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2022caul/
Wiley,Australia,CSIRO,130,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,wiley2022csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2022csiro/
AIP Publishing,Austria,TU Wien,20,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,aip2021tuwien,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2021tuwien/
AIP Publishing,Austria,TU Wien,18,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,aip2024tuwien,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2024tuwien/
AIP Publishing,Austria,University of Vienna,15,2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,aip2020univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2020univie/
AIP Publishing,Austria,University of Vienna,15,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,aip2023univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023univie/
American Chemical Society,Austria,KEMOE,128,2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,acs2020kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2020kemoe/
American Chemical Society,Austria,KEMOE,100,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,acs2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023kemoe/
American Chemical Society,Austria,KEMOE,100,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,acs2024kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2024kemoe/
Association for Computing Machinery,Austria,KEMOE,192,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,acm2022kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2022kemoe/
Brill,Austria,University of Vienna,25,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z,brill2020univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2020univie/
Brill,Austria,University of Vienna,25,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,brill2021univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2021univie/
Brill,Austria,University of Salzburg,5,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,brill2024sbg,https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2024sbg/
Cambridge University Press,Austria,KEMOE,63,2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,cam2020kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2020kemoe/
Cambridge University Press,Austria,KEMOE,97,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,cam2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023kemoe/
Company of Biologists,Austria,Institute of Science and Technology Austria,1,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,compbio2021ist,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021ist/
Company of Biologists,Austria,University of Salzburg,1,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,compbio2023sbg,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023sbg/
Company of Biologists,Austria,University of Vienna,6,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,compbio2021univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021univie/
Company of Biologists,Austria,University of Vienna,6,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,compbio2024univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024univie/
Elsevier,Austria,KEMOE/FWF,1800,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,els2021kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021kemoe/
Elsevier,Austria,KEMOE,1600,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,els2024kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024kemoe/
Emerald,Austria,KEMOE,50,2017-01-01T00:00:00Z,2019-12-31T00:00:00Z,eme2017kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2017kemoe
Emerald,Austria,KEMOE,55,2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,eme2020kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2020kemoe/
Emerald,Austria,KEMOE,43,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,eme2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2023kemoe/
IEEE,Austria,KEMOE/FWF,126,2021-11-30T00:00:00Z,2024-12-31T00:00:00Z,ieee2021kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2021kemoe/
IOP Publishing,Austria,KEMOE,20,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,iop2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023kemoe/
IOP Publishing,Austria,KEMOE/FWF,80,2014-01-01T00:00:00Z,2016-12-31T00:00:00Z,iop2014kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2014kemoe/
IOP Publishing,Austria,KEMOE/FWF,80,2017-01-01T00:00:00Z,2019-12-31T00:00:00Z,iop2017kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2017kemoe/
IOP Publishing,Austria,KEMOE/FWF,23,2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,iop2020kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2020kemoe/
IWA Publishing,Austria,KEMOE,50,2019-01-01T00:00:00Z,2024-12-31T00:00:00Z,iwa2019kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2019kemoe/
John Benjamins Publishing,Austria,University of Vienna,9,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,jbp2022univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2022univie/
John Benjamins Publishing,Austria,University of Vienna,9,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,jbp2023univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023univie/
Oxford University Press,Austria,KEMOE,200,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,oxf2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2023kemoe/
Oxford University Press,Austria,University of Vienna,35,2019-01-01T00:00:00Z,2020-12-31T00:00:00Z,oxf2019univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2019univie/
Oxford University Press,Austria,University of Vienna,35,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,oxf2021univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2021univie/
Rockefeller University Press,Austria,University of Vienna,1,2022-01-01T00:00:00Z,2023-12-31T00:00:00Z,rup2022univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2022univie/
Rockefeller University Press,Austria,University of Vienna,1,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,rup2024univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024univie/
Royal Society of Chemistry,Austria,KEMOE,90,2017-01-01T00:00:00Z,2018-12-31T00:00:00Z,rsc2017kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2017kemoe/
Royal Society of Chemistry,Austria,KEMOE,92,2019-01-01T00:00:00Z,2020-12-31T00:00:00Z,rsc2019kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2019kemoe/
Royal Society of Chemistry,Austria,KEMOE/FWF,92,2021-01-01T00:00:00Z,2024-12-31T00:00:00Z,rsc2021kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021kemoe/
Sage,Austria,KEMOE,50,2016-01-01T00:00:00Z,2018-12-31T00:00:00Z,sage2016kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2016kemoe/
Sage,Austria,KEMOE,150,2019-01-01T00:00:00Z,2022-12-31T00:00:00Z,sage2019kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2019kemoe
Sage,Austria,KEMOE,120,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,sage2023kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2023kemoe/
Springer Nature,Austria,KEMOE/FWF,1300,2016-01-01T00:00:00Z,2018-12-31T00:00:00Z,sc2016kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sc2016kemoe/
Springer Nature,Austria,KEMOE/FWF,1500,2019-01-01T00:00:00Z,2021-12-31T00:00:00Z,sc2019kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sc2019kemoe/
Springer Nature,Austria,KEMOE/FWF,1590,2022-01-01T00:00:00Z,2023-12-31T00:00:00Z,sn2022kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2022kemoe/
Springer Nature,Austria,KEMOE,1683,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,sn2024kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2024kemoe/
Taylor & Francis,Austria,KEMOE,212,2020-01-01T00:00:00Z,2023-12-31T00:00:00Z,tf2020kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2020kemoe/
Taylor & Francis,Austria,KEMOE/FWF,70,2014-01-01T00:00:00Z,2016-12-31T00:00:00Z,tf2014kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2014kemoe/
Taylor & Francis,Austria,KEMOE/FWF,250,2017-01-01T00:00:00Z,2019-12-31T00:00:00Z,tf2017kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2017kemoe/
The Royal Society,Austria,Institute of Science and Technology Austria,1,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,trs2021ist,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021ist/
The Royal Society,Austria,University of Salzburg,1,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,trs2021sbg,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021sbg/
The Royal Society,Austria,University of Salzburg,1,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,trs2022sbg,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2022sbg/
The Royal Society,Austria,University of Salzburg,1,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,trs2023sbg,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023sbg/
The Royal Society,Austria,University of Vienna,10,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,trs2021univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2021univie/
The Royal Society,Austria,University of Vienna,10,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,trs2022univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2022univie/
The Royal Society,Austria,University of Vienna,12,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,trs2023univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2023univie/
The Royal Society,Austria,University of Vienna,10,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,trs2024univie,https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2024univie/
Thieme,Austria,KEMOE,20,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,thie2021kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/thie2021kemoe/
Thieme,Austria,KEMOE,20,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,thie2024kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/thie2024kemoe/
Walter de Gruyter,Austria,KEMOE,150,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,degruy2022kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2022kemoe/
Walter de Gruyter,Austria,"University of Graz, University of Klagenfurt, Johannes Kepler University Linz, Paris Lodron University of Salzburg, University of Innsbruck, Medical University of Innsbruck, University of Vienna",145,2019-01-01T00:00:00Z,2021-12-31T00:00:00Z,degruy2019at,https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2019at/
Wiley,Austria,KEMOE/FWF,650,2018-01-01T00:00:00Z,2020-12-31T00:00:00Z,wiley2018kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2018kemoe/
Wiley,Austria,KEMOE/FWF,950,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,wiley2021kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2021kemoe/
Wiley,Austria,KEMOE,1100,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,wiley2024kemoe,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024kemoe/
Cambridge University Press,Belgium,University of Antwerp,30,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,cam2022uantw,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2022uantw/
Company of Biologists,Belgium,University of Antwerp,5,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,compbio2023uantw,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023uantw/
John Benjamins Publishing,Belgium,KU Leuven,10,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,jbp2021leuven,https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2021leuven/
John Benjamins Publishing,Belgium,KU Leuven,13,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,jbp2022leuven,https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2022leuven/
John Benjamins Publishing,Belgium,KU Leuven,13,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,jbp2023leuven,https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2023leuven/
Rockefeller University Press,Belgium,KU Leuven,1,2022-01-01T00:00:00Z,2023-12-31T00:00:00Z,rup2022leuven,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2022leuven/
Royal Society of Chemistry,Belgium,KU Leuven,57,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,rsc2023leuven,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023leuven/
American Chemical Society,Canada,Federal Science Libraries Network,40,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,acs2023fsln,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2023fsln/
Cambridge University Press,Canada,Canadian Research Knowledge Network,900,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,cam2022crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2022crkn/
Canadian Science Publishing,Canada,Canadian Research Knowledge Network,718,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,csp2023crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/csp2023crkn/
Cold Spring Harbor Laboratory Press,Canada,Université Laval,2,2023-01-01T00:00:00Z,2024-12-31T00:00:00Z,cshl2023ulaval,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cshl2023ulaval/
Company of Biologists,Canada,Mount Royal University,1,2023-06-15T00:00:00Z,2026-06-15T00:00:00Z,compbio2023mtroyal,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023mtroyal/
Elsevier,Canada,Canadian Research Knowledge Network,9000,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,els2024crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024crkn/
IOP Publishing,Canada,Canadian Research Knowledge Network,300,2021-12-15T00:00:00Z,2024-12-14T00:00:00Z,iop2021crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2021crkn/
Microbiology Society,Canada,Council of Prairie and Pacific University Libraries / Ontario Council of University Libraries / Bureau de coopération interuniversitaire / Council of Atlantic Academic Libraries / Federal Science Libraries Network,20,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,microbio2022ca,https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2022ca/
Oxford University Press,Canada,Canadian Research Knowledge Network,900,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,oxf2024crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024crkn/
Sage,Canada,Canadian Research Knowledge Network,2200,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,sage2021crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2021crkn/
Sage,Canada,Canadian Research Knowledge Network,2000,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,sage2024crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2024crkn/
Springer Nature,Canada,Federal Science Libraries Network (FSLN),136,2022-01-01T00:00:00Z,2023-12-31T00:00:00Z,sn2022fsln,https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2022fsln/
Wiley,Canada,Canadian Research Knowledge Network,4200,2023-01-01T00:00:00Z,2024-12-31T00:00:00Z,wiley2023crkn,https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2023crkn/
